Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic)
OGD,7,AdultIncome,0.9+0,0.10873487270742752,0.07717537553485647,0.0012110045426848815
OGD,10,AdultIncome,0.9+0,0.05631396022671411,0.04392507873363169,0.0008577966954649272
OGD,13,AdultIncome,0.9+0,0.009157356745179071,0.04392507873363169,0.00041665628359579697
OGD,16,AdultIncome,0.9+0,0.03777225592476841,0.04392507873363169,0.0007328641990554321
OGD,19,AdultIncome,0.9+0,0.0028861478095501096,0.04392507873363169,0.0004768950408698938
OGD,22,AdultIncome,0.9+0,0.002582109224549693,0.04392507873363169,0.0004768950408698938
OGD,25,AdultIncome,0.9+0,0.0014729196231785136,0.04392507873363169,0.0004768950408698938
OGD,28,AdultIncome,0.9+0,0.0014458742055610408,0.04392507873363169,0.0004768950408698938
OGD,31,AdultIncome,0.9+0,0.0007014424251325335,0.04392507873363169,0.0004768950408698938
OGD,34,AdultIncome,0.9+0,0.0008534556606666941,0.04392507873363169,0.0004768950408698938
OGD,37,AdultIncome,0.9+0,0.0002855949937396157,0.04392507873363169,0.0004768950408698938
OGD,40,AdultIncome,0.9+0,0.003025038136126233,0.04392507873363169,0.0004987402700504821
OGD,43,AdultIncome,0.9+0,0.0001361938719932751,0.04392507873363169,0.00047907160049199025
OGD,46,AdultIncome,0.9+0,0.00046612338961413293,0.04392507873363169,0.00047521710747185574
OGD,49,AdultIncome,0.9+0,0.0009409093804592952,0.04392507873363169,0.0004846975799048432
Hedge,1,AdultIncome,0.9+0,0.1243317170210121,0.1316094811868059,0.001316094811868059
Hedge,4,AdultIncome,0.9+0,0.056952915925631564,0.061009629921338196,0.0008621019270262167
Hedge,7,AdultIncome,0.9+0,0.015124140621059214,0.061009629921338196,0.0006714858445860611
Hedge,10,AdultIncome,0.9+0,0.007958244554716436,0.061009629921338196,0.0006445251056188389
Hedge,13,AdultIncome,0.9+0,0.005633627815363921,0.061009629921338196,0.0006304684784291158
Hedge,16,AdultIncome,0.9+0,0.009455386058445401,0.061009629921338196,0.0006304684784291158
Hedge,19,AdultIncome,0.9+0,0.0017235821833582316,0.061009629921338196,0.0006304684784291158
Hedge,22,AdultIncome,0.9+0,0.0006873743871240403,0.061009629921338196,0.0006242071042727044
Hedge,25,AdultIncome,0.9+0,0.0008743577430969701,0.061009629921338196,0.0006278691128894212
Hedge,28,AdultIncome,0.9+0,0.00010793046374699293,0.061009629921338196,0.000624862456469909
Hedge,31,AdultIncome,0.9+0,0.0027291599826308223,0.061009629921338196,0.0006251008243742855
Hedge,34,AdultIncome,0.9+0,3.0054594778420828e-05,0.061009629921338196,0.0006251008243742855
Hedge,37,AdultIncome,0.9+0,0.0014681872266490423,0.061009629921338196,0.0006252276789266432
Hedge,40,AdultIncome,0.9+0,1.6285556189258523e-05,0.061009629921338196,0.0006252276789266432
Hedge,43,AdultIncome,0.9+0,0.0007050659554607953,0.061009629921338196,0.0006252276789266432
Hedge,46,AdultIncome,0.9+0,3.065789784807488e-06,0.061009629921338196,0.0006251834335955135
