Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic),Validation Calibration Error
OGD,97,AdultIncome,0.9+0,0.013184024920199227,0.025462631045675903,0.0004936480668675835,0.026178423780611353
Hedge,1,AdultIncome,0.8+0,0.13486934324118852,0.1324124099018503,0.001395296496876936,0.13768663373876427
Hedge,13,AdultIncome,0.8+0,0.03424278100578463,0.025451349961451777,0.0007652482976549396,0.025086120389222012
Hedge,25,AdultIncome,0.8+0,0.03213266512846163,0.031931706877789776,0.0007617160193321541,0.02933960600560068
Hedge,37,AdultIncome,0.8+0,0.03198891294854026,0.03196374381227206,0.0007615351890078077,0.029371209673221505
Hedge,49,AdultIncome,0.8+0,0.03197708740273272,0.03196049934271402,0.0007614903619986904,0.029367978914408305
Hedge,61,AdultIncome,0.8+0,0.03197629921274322,0.03196058165334814,0.0007614895702644398,0.029368059416460063
Hedge,73,AdultIncome,0.8+0,0.031976252647866986,0.03196056803381319,0.000761489433801041,0.029368045804765368
Hedge,85,AdultIncome,0.8+0,0.031976249363681326,0.03196056815713286,0.0007614894284510267,0.029368045921683777
Hedge,97,AdultIncome,0.8+0,0.03197624917306773,0.0319605680970379,0.0007614894277240442,0.029368045861663816
Prod,1,AdultIncome,0.95+0,0.09270032522074469,0.09046644325695145,0.0010560094194366455,0.0953811922968723
Prod,13,AdultIncome,0.95+0,0.012110858699706968,0.03297202026586583,0.0004260689225546789,0.03420764834209705
Prod,25,AdultIncome,0.95+0,0.006981479588887645,0.04176788297109722,0.00039145748101665457,0.037961928613246744
Prod,37,AdultIncome,0.95+0,0.00530380535273363,0.030941758456588073,0.00038822981196801406,0.029704475716846358
Prod,49,AdultIncome,0.95+0,0.004583550258212922,0.031328049398186134,0.0003846563631559449,0.02699576295994739
Prod,61,AdultIncome,0.95+0,0.004340107085833957,0.0265720245469097,0.0003824398516709768,0.023728890925577225
Prod,73,AdultIncome,0.95+0,0.004067449460204108,0.027360802562510143,0.00038051116125757233,0.023662027732666017
Prod,85,AdultIncome,0.95+0,0.0039620647394386695,0.025396248490981856,0.00038020040321877784,0.02424984968717761
Prod,97,AdultIncome,0.95+0,0.0038847777631958514,0.02526078747910066,0.0003795273550172288,0.02423979723426438
GD,1,AdultIncome,0.9+0,0.20781515304483505,0.20497237569060772,0.002049723756906077,0.2108684347373895
GD,13,AdultIncome,0.9+0,0.04068191375898619,0.025524806629834255,0.0006446016878570497,0.025592108684347397
GD,25,AdultIncome,0.9+0,0.017911984201198713,0.025524806629834255,0.0006554074029590591,0.025592108684347397
GD,37,AdultIncome,0.9+0,0.027181025525392692,0.025524806629834255,0.0006455945199757457,0.025592108684347397
GD,49,AdultIncome,0.9+0,0.030690467110630767,0.025524806629834255,0.0006430125986809573,0.025592108684347397
GD,61,AdultIncome,0.9+0,0.031685943047559076,0.025524806629834255,0.000645545303731513,0.025592108684347397
GD,73,AdultIncome,0.9+0,0.0319666766261758,0.025524806629834255,0.0006462595503808261,0.025592108684347397
GD,85,AdultIncome,0.9+0,0.03204582575836151,0.025524806629834255,0.0006464592948812041,0.025592108684347397
GD,97,AdultIncome,0.9+0,0.03206821887738001,0.025524806629834255,0.0006465173971827474,0.025592108684347397
Hedge-Hedge,1,AdultIncome,0.95+0.9,0.2059565875820293,0.20386740331491715,0.0020386740331491716,0.22932917316692666
Hedge-Hedge,13,AdultIncome,0.95+0.9,0.06184600195077119,0.05375800724952975,0.0008234637936537388,0.043020982369648096
Hedge-Hedge,25,AdultIncome,0.95+0.9,0.05322285712052044,0.02995770299895,0.0004432967265013561,0.033791059424428845
Hedge-Hedge,37,AdultIncome,0.95+0.9,0.03844070035920776,0.02995770299895,0.00044361219743018523,0.033791059424428845
Hedge-Hedge,49,AdultIncome,0.95+0.9,0.022870934877639842,0.02974703977065411,0.0004264427658755138,0.03326605035332332
Hedge-Hedge,61,AdultIncome,0.95+0.9,0.02256623067417827,0.02974703977065411,0.00041881121055557287,0.03326605035332332
Hedge-Hedge,73,AdultIncome,0.95+0.9,0.02256623067417827,0.027625357871253947,0.0004154867442932143,0.0298255485032473
Hedge-Hedge,85,AdultIncome,0.95+0.9,0.02256623067417827,0.027557556468099837,0.00041268195263058913,0.02977393162334155
Hedge-Hedge,97,AdultIncome,0.95+0.9,0.021965229613163613,0.02762453800545166,0.00041171607933271196,0.029826791989236944
OGD-OGD,1,AdultIncome,0.95+0.99,0.062255410635772834,0.06601757335122935,0.0008800652362747244,0.06856825891525874
OGD-OGD,13,AdultIncome,0.95+0.99,0.04767400691231141,0.02676235087253112,0.000545283763810051,0.025647452936256924
OGD-OGD,25,AdultIncome,0.95+0.99,0.020200696111051162,0.04397316271480594,0.0006171066211515348,0.05404245849517638
OGD-OGD,37,AdultIncome,0.95+0.99,0.012757661093976073,0.03973564569656652,0.0006000133095711111,0.037661248383639656
OGD-OGD,49,AdultIncome,0.95+0.99,0.013328717872351872,0.03990226618267392,0.0005616969291190924,0.0375187928397648
OGD-OGD,61,AdultIncome,0.95+0.99,0.013328717872351872,0.04147059631083961,0.000552791141494433,0.039056130524639555
OGD-OGD,73,AdultIncome,0.95+0.99,0.017426046099271494,0.04300510208325648,0.0005472006242691396,0.04051665426946191
OGD-OGD,85,AdultIncome,0.95+0.99,0.017426046099271494,0.04375361901011638,0.0005420453434121197,0.04122629591717403
OGD-OGD,97,AdultIncome,0.95+0.99,0.017426046099271494,0.04375818075328481,0.0005393999080237282,0.04123016467911683
OGD,1,AdultIncome,0.9+0,0.06494622866591604,0.06873815520908731,0.000907271054853304,0.07133302658716739
OGD,13,AdultIncome,0.9+0,0.019194407943373546,0.03545471225869156,0.0004802034484938495,0.03428923581466169
OGD,25,AdultIncome,0.9+0,0.011598441316237775,0.02314142238218708,0.0004480706473711474,0.02038801364154586
OGD,37,AdultIncome,0.9+0,0.010361437931928126,0.02349576760173405,0.00044641433592492276,0.020805664686285284
OGD,49,AdultIncome,0.9+0,0.010095502845844779,0.02362040155554125,0.0004454029582489212,0.020964097846031537
OGD,61,AdultIncome,0.9+0,0.00998540506020456,0.023692058014905603,0.0004448731765508163,0.02101600458950799
OGD,73,AdultIncome,0.9+0,0.009955081069442024,0.023704225467615907,0.000444769686628556,0.021030668437961714
OGD,85,AdultIncome,0.9+0,0.009946027353127634,0.023707958291573038,0.0004447361944280359,0.021035092138894457
OGD,97,AdultIncome,0.9+0,0.009943660513924028,0.02370868315382338,0.000444726282524444,0.021036505772055496
Hedge,1,AdultIncome,0.8+0,0.1333051515064039,0.1303042038542983,0.0013404695656521568,0.14902957041527576
Hedge,13,AdultIncome,0.8+0,0.03240204051458472,0.03952803308947094,0.0007871458291027106,0.04516593123724815
Hedge,25,AdultIncome,0.8+0,0.030550920771617016,0.02721567946580682,0.0007822310056227366,0.038611559823619634
Hedge,37,AdultIncome,0.8+0,0.030382243395229613,0.027265052775075533,0.0007815542792538499,0.03851883379065965
Hedge,49,AdultIncome,0.8+0,0.03037303238037403,0.027268951355984564,0.000781532449816343,0.03851864394216061
Hedge,61,AdultIncome,0.8+0,0.03037231728808331,0.027269254026933934,0.0007815303090949427,0.03851854523328966
Hedge,73,AdultIncome,0.8+0,0.030372262419393694,0.027269277300592136,0.0007815301521959963,0.03851854017784706
Hedge,85,AdultIncome,0.8+0,0.030372259579999446,0.027269278480980635,0.0007815301463804131,0.038518540260903615
Hedge,97,AdultIncome,0.8+0,0.030372259357058173,0.027269278547038305,0.0007815301460504065,0.03851854025829413
Prod,1,AdultIncome,0.95+0,0.09130630708571977,0.08777828095281238,0.0010550312471696408,0.1064422904785045
Prod,13,AdultIncome,0.95+0,0.01101985975557539,0.031550351594998666,0.00044304174108213487,0.02941224785024243
Prod,25,AdultIncome,0.95+0,0.009620356207394066,0.03256245096920017,0.00038643428627421517,0.03271371283681658
Prod,37,AdultIncome,0.95+0,0.004768936990604731,0.035210574825761114,0.00037772169556586567,0.03143423727949075
Prod,49,AdultIncome,0.95+0,0.0037484661361092872,0.030968795575635432,0.0003722562587418325,0.027609818675116044
Prod,61,AdultIncome,0.95+0,0.0034166167423236916,0.030602845779054023,0.0003690762008289013,0.02735025460335253
Prod,73,AdultIncome,0.95+0,0.0031906447314792963,0.03050250817063417,0.00036702397230140905,0.027393603853201463
Prod,85,AdultIncome,0.95+0,0.0031097385359239505,0.03048714992969022,0.0003668183963380887,0.027368972875334886
Prod,97,AdultIncome,0.95+0,0.0030787857272842095,0.02678133726831317,0.00036774517231575476,0.025190004875707817
GD,1,AdultIncome,0.9+0,0.2059565875820293,0.20386740331491715,0.0020386740331491716,0.22269890795631825
GD,13,AdultIncome,0.9+0,0.028984811612924984,0.026994475138121553,0.0005849485204967922,0.02613104524180967
GD,25,AdultIncome,0.9+0,0.012644670965077341,0.026994475138121553,0.0005849485204967922,0.02404556682267291
GD,37,AdultIncome,0.9+0,0.021661465452122684,0.026994475138121553,0.0005633554804650424,0.02404556682267291
GD,49,AdultIncome,0.9+0,0.025173746983845346,0.026994475138121553,0.0005727801593893679,0.02404556682267291
GD,61,AdultIncome,0.9+0,0.026169184757705338,0.026994475138121553,0.0005754512668512958,0.02404556682267291
GD,73,AdultIncome,0.9+0,0.0264506762234136,0.026994475138121553,0.0005762056664936589,0.02404556682267291
GD,85,AdultIncome,0.9+0,0.026530078753938775,0.026994475138121553,0.0005764196067608179,0.02404556682267291
GD,97,AdultIncome,0.9+0,0.026552555600363074,0.026994475138121553,0.000576479892352615,0.02404556682267291
Hedge-Hedge,1,AdultIncome,0.95+0.9,0.2055206277821119,0.21425414364640885,0.0021425414364640884,0.21294851794071762
Hedge-Hedge,13,AdultIncome,0.95+0.9,0.062115595849235275,0.03186930861154173,0.0008142440387972148,0.03847258083220954
Hedge-Hedge,25,AdultIncome,0.95+0.9,0.06509589531565414,0.025687650912724312,0.0005762366047373246,0.026134515199536624
Hedge-Hedge,37,AdultIncome,0.95+0.9,0.038846938007431324,0.025687650912724312,0.0004397078752081732,0.026134515199536624
Hedge-Hedge,49,AdultIncome,0.95+0.9,0.05315212876873521,0.025194418968542725,0.00041661483766371947,0.025513678029280583
Hedge-Hedge,61,AdultIncome,0.95+0.9,0.035398396593710336,0.020066898058907653,0.0003921377421635806,0.021211720094127064
Hedge-Hedge,73,AdultIncome,0.95+0.9,0.02748897998330404,0.030559782972174123,0.00043175915437632724,0.03190876813376506
Hedge-Hedge,85,AdultIncome,0.95+0.9,0.02366633722234224,0.031609976748250695,0.0004515495371768976,0.03310556106239784
Hedge-Hedge,97,AdultIncome,0.95+0.9,0.022478152078795822,0.0330438059704219,0.00046176836661197525,0.03591186649356211
OGD-OGD,1,AdultIncome,0.95+0.99,0.06326372234929807,0.0627343509729929,0.0008593877086249566,0.06671814469583374
OGD-OGD,13,AdultIncome,0.95+0.99,0.042770921170393716,0.02423401922366095,0.0005237810201349679,0.029023279481938027
OGD-OGD,25,AdultIncome,0.95+0.99,0.016466305400457973,0.05113569869425231,0.0005713692146243764,0.0459624012701959
OGD-OGD,37,AdultIncome,0.95+0.99,0.022193779011782475,0.049941054778007976,0.0005854717876121563,0.046550437881084546
OGD-OGD,49,AdultIncome,0.95+0.99,0.015415088761555125,0.02801055408836815,0.0005443086693383625,0.025837719811479816
OGD-OGD,61,AdultIncome,0.95+0.99,0.01761731207351609,0.0317100210614663,0.000533336224724904,0.02853083119351162
OGD-OGD,73,AdultIncome,0.95+0.99,0.02304396602744977,0.03309735831684847,0.00051881126100198,0.029091411587424544
OGD-OGD,85,AdultIncome,0.95+0.99,0.02304396602744977,0.025567866195539538,0.0005096102386202453,0.02152175638731595
OGD-OGD,97,AdultIncome,0.95+0.99,0.02304396602744977,0.023979674182649822,0.0005038078643846604,0.021334848522659978
