Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic)
GD,28,AdultIncome,0.95+0,0.20787615813843976,0.13603387315755408,0.0017324587382057414
GD,31,AdultIncome,0.95+0,0.034737660912532047,0.08809878998839715,0.0008979737776394944
GD,34,AdultIncome,0.95+0,0.15636968123580425,0.10134995721384109,0.0013856195787686114
GD,37,AdultIncome,0.95+0,0.20980755911705692,0.14522991756399567,0.002079308955185788
GD,40,AdultIncome,0.95+0,0.010145015213583462,0.08809878998839715,0.0008382155534833353
GD,43,AdultIncome,0.95+0,0.00015304260045740576,0.08809878998839715,0.0008711249661871922
GD,46,AdultIncome,0.95+0,0.031382203998405536,0.08809878998839715,0.0009709237223603394
GD,49,AdultIncome,0.95+0,0.006753459235629653,0.08809878998839715,0.0008907394117052449
Hedge-Hedge,1,AdultIncome,0.95+0.98,0.12766795142774257,0.1253107906514172,0.001253107906514172
Hedge-Hedge,4,AdultIncome,0.95+0.98,0.08924864533609943,0.08956400711041765,0.0008956400711041764
Hedge-Hedge,7,AdultIncome,0.95+0.98,0.05639763710406763,0.04063677907743306,0.0006988662584354372
Hedge-Hedge,10,AdultIncome,0.95+0.98,0.05639763710406763,0.03944969335322394,0.0006988662584354372
Hedge-Hedge,13,AdultIncome,0.95+0.98,0.03992517652266308,0.03944969335322394,0.00013882710736473993
Hedge-Hedge,16,AdultIncome,0.95+0.98,0.03992517652266308,0.03944969335322394,0.00013882710736473993
Hedge-Hedge,19,AdultIncome,0.95+0.98,0.029388627829777903,0.03944969335322394,0.00013882710736473993
Hedge-Hedge,22,AdultIncome,0.95+0.98,0.02610446201594935,0.03944969335322394,0.00013882710736473993
Hedge-Hedge,25,AdultIncome,0.95+0.98,0.02610446201594935,0.03944969335322394,0.00013882710736473993
Hedge-Hedge,28,AdultIncome,0.95+0.98,0.02610446201594935,0.03944969335322394,0.00013882710736473993
Hedge-Hedge,31,AdultIncome,0.95+0.98,0.02040611517594126,0.03944969335322394,0.0002335219153737579
Hedge-Hedge,34,AdultIncome,0.95+0.98,0.02040611517594126,0.03944969335322394,0.000327266389709349
Hedge-Hedge,37,AdultIncome,0.95+0.98,0.02040611517594126,0.03944969335322394,0.0003231750696581508
Hedge-Hedge,40,AdultIncome,0.95+0.98,0.02040611517594126,0.03944969335322394,0.0003231750696581508
Hedge-Hedge,43,AdultIncome,0.95+0.98,0.02040611517594126,0.03944969335322394,0.0003231750696581508
Hedge-Hedge,46,AdultIncome,0.95+0.98,0.0179698108317227,0.03944969335322394,0.0003231750696581508
Hedge-Hedge,49,AdultIncome,0.95+0.98,0.014270016550200406,0.03944969335322394,0.0002793696883117335
Hedge-Hedge,1,AdultIncome,0.9+0.98,0.12766795142774257,0.1253107906514172,0.001253107906514172
Hedge-Hedge,4,AdultIncome,0.9+0.98,0.09283745554494519,0.09312398656197372,0.0009312398656197373
Hedge-Hedge,7,AdultIncome,0.9+0.98,0.072770270840217,0.07321801186781775,0.0007695879875405585
Hedge-Hedge,10,AdultIncome,0.9+0.98,0.072770270840217,0.07321801186781775,0.0007321801186781774
Hedge-Hedge,13,AdultIncome,0.9+0.98,0.06372609675752679,0.0642464942848279,0.000642464942848279
Hedge-Hedge,16,AdultIncome,0.9+0.98,0.0559485019703051,0.048298021030886484,0.000579786845329834
Hedge-Hedge,19,AdultIncome,0.9+0.98,0.0559485019703051,0.039746690538710695,0.000579786845329834
Hedge-Hedge,22,AdultIncome,0.9+0.98,0.0559485019703051,0.03944969335322394,0.000579786845329834
Hedge-Hedge,25,AdultIncome,0.9+0.98,0.0559485019703051,0.03944969335322394,0.0004998066667478429
Hedge-Hedge,28,AdultIncome,0.9+0.98,0.05024473509809907,0.03944969335322394,0.0004998066667478429
Hedge-Hedge,31,AdultIncome,0.9+0.98,0.04622870040741952,0.03944969335322394,0.0004998066667478429
Hedge-Hedge,34,AdultIncome,0.9+0.98,0.04337828190943492,0.03944969335322394,0.0004998066667478429
Hedge-Hedge,37,AdultIncome,0.9+0.98,0.04134193999769041,0.03944969335322394,0.0004998066667478429
Hedge-Hedge,40,AdultIncome,0.9+0.98,0.0398797332266077,0.03944969335322394,0.0004998066667478429
Hedge-Hedge,43,AdultIncome,0.9+0.98,0.0388256836404977,0.03944969335322394,0.0004998066667478429
Hedge-Hedge,46,AdultIncome,0.9+0.98,0.03806362345966381,0.03944969335322394,0.0004998066667478429
Hedge-Hedge,49,AdultIncome,0.9+0.98,0.03751145818265367,0.03944969335322394,0.0004998066667478429
OGD-OGD,1,AdultIncome,0.95+0.98,0.1252849268515065,0.1253107906514172,0.001253107906514172
OGD-OGD,4,AdultIncome,0.95+0.98,0.05659385571287177,0.08320901707276646,0.00102667812599816
OGD-OGD,7,AdultIncome,0.95+0.98,0.02162076195327056,0.03159952974233174,0.00036266817750581193
OGD-OGD,10,AdultIncome,0.95+0.98,0.02162076195327056,0.03159952974233174,0.00036266817750581193
OGD-OGD,13,AdultIncome,0.95+0.98,0.016566164607857033,0.03000254832602758,0.00036266817750581193
OGD-OGD,16,AdultIncome,0.95+0.98,0.016566164607857033,0.03000254832602758,0.00036266817750581193
OGD-OGD,19,AdultIncome,0.95+0.98,0.016566164607857033,0.03000254832602758,0.00036266817750581193
OGD-OGD,22,AdultIncome,0.95+0.98,0.016566164607857033,0.03000254832602758,0.00036266817750581193
OGD-OGD,25,AdultIncome,0.95+0.98,0.010337707574860366,0.03000254832602758,0.0003421370060513951
OGD-OGD,28,AdultIncome,0.95+0.98,0.0056813372027337775,0.03000254832602758,0.0003122530678629188
OGD-OGD,31,AdultIncome,0.95+0.98,0.0056813372027337775,0.03000254832602758,0.00030130744614625764
OGD-OGD,34,AdultIncome,0.95+0.98,0.0056813372027337775,0.03000254832602758,0.0002916883902119615
OGD-OGD,37,AdultIncome,0.95+0.98,0.0056813372027337775,0.03000254832602758,0.0002916883902119615
OGD-OGD,40,AdultIncome,0.95+0.98,0.0056813372027337775,0.03000254832602758,0.0002916883902119615
OGD-OGD,43,AdultIncome,0.95+0.98,0.0056813372027337775,0.03000254832602758,0.0002916883902119615
OGD-OGD,46,AdultIncome,0.95+0.98,0.0056813372027337775,0.03000254832602758,0.0002916883902119615
OGD-OGD,49,AdultIncome,0.95+0.98,0.0056813372027337775,0.03000254832602758,0.0002916883902119615
OGD-OGD,1,AdultIncome,0.9+0.98,0.1252849268515065,0.1253107906514172,0.001253107906514172
OGD-OGD,4,AdultIncome,0.9+0.98,0.06288058789351338,0.08320901707276646,0.0010474013927085112
OGD-OGD,7,AdultIncome,0.9+0.98,0.04547782752940983,0.08320901707276646,0.000990035811646835
OGD-OGD,10,AdultIncome,0.9+0.98,0.04547782752940983,0.08320901707276646,0.000990035811646835
OGD-OGD,13,AdultIncome,0.9+0.98,0.02207965064645602,0.052753508606981483,0.0006083521574637065
OGD-OGD,16,AdultIncome,0.9+0.98,0.02207965064645602,0.03817313264841119,0.00046254839787800373
OGD-OGD,19,AdultIncome,0.9+0.98,0.02207965064645602,0.028640203083929356,0.00036721910223318525
OGD-OGD,22,AdultIncome,0.9+0.98,0.02207965064645602,0.026697912940266442,0.0003477962007965563
OGD-OGD,25,AdultIncome,0.9+0.98,0.020361413705764702,0.026697912940266442,0.000342132291253349
OGD-OGD,28,AdultIncome,0.9+0.98,0.01779388872123162,0.026697912940266442,0.00033366883146038873
OGD-OGD,31,AdultIncome,0.9+0.98,0.014942248814456457,0.026697912940266442,0.0003242688295751564
OGD-OGD,34,AdultIncome,0.9+0.98,0.012939775150658807,0.026697912940266442,0.00031766797644145454
OGD-OGD,37,AdultIncome,0.9+0.98,0.011519989353477462,0.026697912940266442,0.0003129878661868525
OGD-OGD,40,AdultIncome,0.9+0.98,0.011481895493319967,0.026697912940266442,0.0003096453813823147
OGD-OGD,43,AdultIncome,0.9+0.98,0.011481895493319967,0.026697912940266442,0.0003072452262817324
OGD-OGD,46,AdultIncome,0.9+0.98,0.011481895493319967,0.026697912940266442,0.0003055147910543278
OGD-OGD,49,AdultIncome,0.9+0.98,0.011481895493319967,0.026697912940266442,0.00030426349793948265
Hedge-Hedge,1,AdultIncome,0.95+0.99,0.12766795142774257,0.1253107906514172,0.001253107906514172
Hedge-Hedge,4,AdultIncome,0.95+0.99,0.09099502913688101,0.08320901707276646,0.001140076418072697
Hedge-Hedge,7,AdultIncome,0.95+0.99,0.06511924444611158,0.06461662176055474,0.0008688568340761452
Hedge-Hedge,10,AdultIncome,0.95+0.99,0.043410242567419655,0.04877898709133083,0.0004877898709133083
Hedge-Hedge,13,AdultIncome,0.95+0.99,0.043410242567419655,0.03753818113992562,0.00037538181139925615
Hedge-Hedge,16,AdultIncome,0.95+0.99,0.043410242567419655,0.03753818113992562,0.00037538181139925615
Hedge-Hedge,19,AdultIncome,0.95+0.99,0.03253114705970046,0.02894566997684033,0.00027411684205593564
Hedge-Hedge,22,AdultIncome,0.95+0.99,0.03108177117272538,0.02894566997684033,0.00013842037018823954
Hedge-Hedge,25,AdultIncome,0.95+0.99,0.03108177117272538,0.02894566997684033,0.00013842037018823954
Hedge-Hedge,28,AdultIncome,0.95+0.99,0.023223448970336853,0.01804178048381419,2.9381475257977496e-05
Hedge-Hedge,31,AdultIncome,0.95+0.99,0.023223448970336853,0.011526315909426137,6.859141298330931e-05
Hedge-Hedge,34,AdultIncome,0.95+0.99,0.023223448970336853,0.011526315909426137,6.859141298330931e-05
Hedge-Hedge,37,AdultIncome,0.95+0.99,0.023223448970336853,0.011526315909426137,6.859141298330931e-05
Hedge-Hedge,40,AdultIncome,0.95+0.99,0.023223448970336853,0.011526315909426137,6.859141298330931e-05
Hedge-Hedge,43,AdultIncome,0.95+0.99,0.023223448970336853,0.011526315909426137,6.859141298330931e-05
Hedge-Hedge,46,AdultIncome,0.95+0.99,0.01622803946602087,0.011526315909426137,6.859141298330931e-05
Hedge-Hedge,49,AdultIncome,0.95+0.99,0.010762169623803927,0.011526315909426137,7.175246102480479e-05
Hedge-Hedge,1,AdultIncome,0.9+0.99,0.12766795142774257,0.1253107906514172,0.001253107906514172
Hedge-Hedge,4,AdultIncome,0.9+0.99,0.09600755926255437,0.08320901707276646,0.0011565994694296257
Hedge-Hedge,7,AdultIncome,0.9+0.99,0.09600755926255437,0.08320901707276646,0.0011565994694296257
Hedge-Hedge,10,AdultIncome,0.9+0.99,0.07948087931103479,0.07167662508526297,0.0009867978357549552
Hedge-Hedge,13,AdultIncome,0.9+0.99,0.07948087931103479,0.07167662508526297,0.0009867978357549552
Hedge-Hedge,16,AdultIncome,0.9+0.99,0.05744876396442875,0.05559102877982747,0.0007533163194876208
Hedge-Hedge,19,AdultIncome,0.9+0.99,0.05744876396442875,0.044602945147101974,0.0006434354831603658
Hedge-Hedge,22,AdultIncome,0.9+0.99,0.05744876396442875,0.05686204886572085,0.0005686204886572085
Hedge-Hedge,25,AdultIncome,0.9+0.99,0.05744876396442875,0.05172645558765484,0.0005172645558765484
Hedge-Hedge,28,AdultIncome,0.9+0.99,0.053788315164482264,0.049186560302618046,0.0004918656030261805
Hedge-Hedge,31,AdultIncome,0.9+0.99,0.049668948721528335,0.047828673136088684,0.00047828673136088686
Hedge-Hedge,34,AdultIncome,0.9+0.99,0.0467417568597998,0.0468637683823955,0.000468637683823955
Hedge-Hedge,37,AdultIncome,0.9+0.99,0.044648820045807676,0.04617386325270306,0.00046173863252703065
Hedge-Hedge,40,AdultIncome,0.9+0.99,0.04314507544553167,0.045678176471075436,0.00045678176471075437
Hedge-Hedge,43,AdultIncome,0.9+0.99,0.04206061606493835,0.04532070075340806,0.0004532070075340806
Hedge-Hedge,46,AdultIncome,0.9+0.99,0.04127632642262102,0.045062171473507176,0.00045062171473507175
Hedge-Hedge,49,AdultIncome,0.9+0.99,0.04070792653764749,0.0448748070037639,0.000448748070037639
OGD-OGD,1,AdultIncome,0.95+0.99,0.1252849268515065,0.1253107906514172,0.001253107906514172
OGD-OGD,4,AdultIncome,0.95+0.99,0.05659385571287177,0.08320901707276646,0.00102667812599816
OGD-OGD,7,AdultIncome,0.95+0.99,0.02162076195327056,0.03159952974233174,0.0003343078335268537
OGD-OGD,10,AdultIncome,0.95+0.99,0.02162076195327056,0.03159952974233174,0.0003343078335268537
