Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic),Validation Calibration Error
Hedge,181,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
Hedge,193,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
Hedge,205,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
Hedge,217,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
Hedge,229,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
Hedge,241,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
Hedge,253,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
Hedge,265,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
Hedge,277,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
Hedge,289,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
Hedge,301,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
Hedge,313,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
Hedge,325,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
Hedge,337,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
Hedge,349,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
Hedge,361,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
Hedge,373,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
Hedge,385,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
Hedge,397,Dry Beans,0.8+0,0.08790813839436103,0.10333022344377962,4.696303265578576e-05,0.097999142083367
GD,1,Dry Beans,0.8+0,0.09924307361508625,0.0985028683363649,4.8091905505963374e-05,0.09973666886109282
GD,13,Dry Beans,0.8+0,0.054997000770001886,0.07081810610846821,4.105086933241902e-05,0.0612335341040832
GD,25,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0761205128641976e-05,0.06060549640450057
GD,37,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.083998688781657e-05,0.06060549640450057
GD,49,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845400729083386e-05,0.06060549640450057
GD,61,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.084577276542237e-05,0.06060549640450057
GD,73,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.084579833156492e-05,0.06060549640450057
GD,85,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.084580008845685e-05,0.06060549640450057
GD,97,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.084580020918955e-05,0.06060549640450057
GD,109,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845800217486234e-05,0.06060549640450057
GD,121,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.084580021805638e-05,0.06060549640450057
GD,133,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845800218095556e-05,0.06060549640450057
GD,145,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.084580021809825e-05,0.06060549640450057
GD,157,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.084580021809844e-05,0.06060549640450057
GD,169,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845800218098456e-05,0.06060549640450057
GD,181,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845800218098456e-05,0.06060549640450057
GD,193,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845800218098456e-05,0.06060549640450057
GD,205,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845800218098456e-05,0.06060549640450057
GD,217,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845800218098456e-05,0.06060549640450057
GD,229,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845800218098456e-05,0.06060549640450057
GD,241,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845800218098456e-05,0.06060549640450057
GD,253,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845800218098456e-05,0.06060549640450057
GD,265,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845800218098456e-05,0.06060549640450057
GD,277,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845800218098456e-05,0.06060549640450057
GD,289,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845800218098456e-05,0.06060549640450057
GD,301,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845800218098456e-05,0.06060549640450057
GD,313,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845800218098456e-05,0.06060549640450057
GD,325,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845800218098456e-05,0.06060549640450057
GD,337,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845800218098456e-05,0.06060549640450057
GD,349,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845800218098456e-05,0.06060549640450057
GD,361,Dry Beans,0.8+0,0.05590949194403682,0.07104573117006643,4.0845800218098456e-05,0.06060549640450057
