Algorithm,Iterations,Dataset,Learning Rate,Training Calibration Error,Testing Calibration Error,Testing Calibration Error (Ergodic),Validation Calibration Error
Hedge-Hedge,49,Bank Market,0.95+0.99,0.07987292364852673,0.07442617265283534,0.0007336475957901847,0.08527953021280671
Hedge-Hedge,61,Bank Market,0.95+0.99,0.0669363566271178,0.06157902344287549,0.0006051761036905862,0.07239153762155856
Hedge-Hedge,73,Bank Market,0.95+0.99,0.09413069951785964,0.08257889129547953,0.0006481763523713634,0.09496361913273749
Hedge-Hedge,85,Bank Market,0.95+0.99,0.09413069951785964,0.08257889129547953,0.0006836450304303688,0.09496361913273749
Hedge-Hedge,97,Bank Market,0.95+0.99,0.09300059619979888,0.08217211926077202,0.0006905974644261298,0.09453543300882927
Hedge-Hedge,1,Bank Market,0.9+0.99,0.586405256617291,0.5889781027475254,0.005889781027475254,0.5798583733434534
Hedge-Hedge,13,Bank Market,0.9+0.99,0.13759096338518362,0.14153459961976886,0.0014268920843642143,0.13136781991617782
Hedge-Hedge,25,Bank Market,0.9+0.99,0.13759096338518362,0.14153459961976886,0.0014268920843642143,0.13136781991617782
Hedge-Hedge,37,Bank Market,0.9+0.99,0.07182673077275434,0.07622493070589623,0.000773795395225488,0.06585051990332398
Hedge-Hedge,49,Bank Market,0.9+0.99,0.05758632278016775,0.056605712360995035,0.0005931837471293142,0.05759688447259698
Hedge-Hedge,61,Bank Market,0.9+0.99,0.05585935876293723,0.05364936340796593,0.0005756746216770321,0.05585717462976698
Hedge-Hedge,73,Bank Market,0.9+0.99,0.055375625664984926,0.05315892218203634,0.0005707702094177361,0.055369871348740975
Hedge-Hedge,85,Bank Market,0.9+0.99,0.055239324336795154,0.053020730706662474,0.0005693882946639975,0.055232564051150075
Hedge-Hedge,97,Bank Market,0.9+0.99,0.055200854256178836,0.05298172714544457,0.0005689982590518184,0.05519381004282401
OGD-OGD,1,Bank Market,0.95+0.99,0.3358828572332997,0.33948686720758303,0.0033948686720758304,0.32964425334873815
OGD-OGD,13,Bank Market,0.95+0.99,0.05024733081254173,0.04795951113282891,0.0005124226191591012,0.05020372721214346
OGD-OGD,25,Bank Market,0.95+0.99,0.04617587188144477,0.0368080504656999,0.00036100096032138247,0.0490139542065669
OGD-OGD,37,Bank Market,0.95+0.99,0.04617587188144477,0.0368080504656999,0.0005305956336325523,0.0490139542065669
OGD-OGD,49,Bank Market,0.95+0.99,0.04617587188144477,0.0368080504656999,0.000569661164286554,0.0490139542065669
OGD-OGD,61,Bank Market,0.95+0.99,0.017980168693913435,0.022375399721368712,0.0002992514838790979,0.03207354866031776
OGD-OGD,73,Bank Market,0.95+0.99,0.017542724779975004,0.0162401879828344,0.00030113217554030166,0.024871543075389035
OGD-OGD,85,Bank Market,0.95+0.99,0.015334651015991015,0.01710456417845324,0.0003311833441360615,0.026731962562839467
OGD-OGD,97,Bank Market,0.95+0.99,0.012856646189577605,0.019951346835651387,0.0003968549556703673,0.030546376937491078
OGD-OGD,1,Bank Market,0.9+0.99,0.35893520055912714,0.3624443258324151,0.003624443258324151,0.35266822970083644
OGD-OGD,13,Bank Market,0.9+0.99,0.08675859628781235,0.09105358686618376,0.0009166888667392218,0.08072631900930674
OGD-OGD,25,Bank Market,0.9+0.99,0.07210258857562762,0.062172801593530426,0.00048615341374649303,0.07445954476994672
OGD-OGD,37,Bank Market,0.9+0.99,0.07210258857562762,0.062172801593530426,0.0005428382246997126,0.07445954476994672
OGD-OGD,49,Bank Market,0.9+0.99,0.06887175029611785,0.06100988609743041,0.0005280564207402063,0.073235408801342
OGD-OGD,61,Bank Market,0.9+0.99,0.06658728140215478,0.06018760901411219,0.0005141462947779727,0.07236984379922011
OGD-OGD,73,Bank Market,0.9+0.99,0.06593632280583239,0.05995330145257794,0.0005101807806452514,0.07212320136066644
OGD-OGD,85,Bank Market,0.9+0.99,0.06575201188492491,0.059886960148098856,0.0005090578465790586,0.07205336758745631
